时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,涨幅,振幅
2024-01-02 23:30,NDX,纳斯达克100指数,16667.3,16532.82,16686.6,16532.67,0,0.0,0.0
2024-01-03 00:30,NDX,纳斯达克100指数,16532.96,16592.47,16593.83,16513.43,0,0.361,0.486
2024-01-03 01:30,NDX,纳斯达克100指数,16592.52,16580.7,16610.75,16580.7,0,-0.071,0.181
2024-01-03 02:30,NDX,纳斯达克100指数,16580.6,16562.51,16608.86,16533.62,0,-0.11,0.454
2024-01-03 03:30,NDX,纳斯达克100指数,16562.59,16528.1,16565.89,16497.89,0,-0.208,0.411
2024-01-03 04:30,NDX,纳斯达克100指数,16528.06,16478.47,16530.95,16453.15,0,-0.3,0.471
2024-01-03 05:00,NDX,纳斯达克100指数,16478.02,16543.94,16549.83,16463.44,0,0.397,0.524
