时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,涨幅,振幅
2024-01-02 23:30,SPX,标准普尔500指数,4745.2,4733.03,4745.2,4730.95,0,0.0,0.0
2024-01-03 00:30,SPX,标准普尔500指数,4732.97,4741.8,4742.44,4731.17,0,0.185,0.238
2024-01-03 01:30,SPX,标准普尔500指数,4741.78,4747.58,4751.22,4741.32,0,0.122,0.209
2024-01-03 02:30,SPX,标准普尔500指数,4747.54,4744.74,4754.33,4740.92,0,-0.06,0.282
2024-01-03 03:30,SPX,标准普尔500指数,4744.74,4737.52,4747.22,4733.67,0,-0.152,0.286
2024-01-03 04:30,SPX,标准普尔500指数,4737.59,4728.04,4738.34,4722.67,0,-0.2,0.331
2024-01-03 05:00,SPX,标准普尔500指数,4727.93,4742.83,4744.14,4724.67,0,0.313,0.412
