datetime_et,open,high,low,close,volume
2024-01-02 07:30,4745.2,4745.2,4730.95,4733.03,0
2024-01-02 08:30,4732.97,4742.44,4731.17,4741.8,0
2024-01-02 09:30,4741.78,4751.22,4741.32,4747.58,0
2024-01-02 10:30,4747.54,4754.33,4740.92,4744.74,0
2024-01-02 11:30,4744.74,4747.22,4733.67,4737.52,0
2024-01-02 12:30,4737.59,4738.34,4722.67,4728.04,0
2024-01-02 13:00,4727.93,4744.14,4724.67,4742.83,0
2024-01-03 07:30,4725.07,4726.59,4709.56,4713.21,0
2024-01-03 08:30,4713.15,4716.82,4704.72,4714.77,0
2024-01-03 09:30,4714.7,4715.18,4707.44,4713.74,0
2024-01-03 10:30,4713.8,4725.02,4712.28,4721.11,0
2024-01-03 11:30,4721.11,4729.29,4708.03,4728.89,0
2024-01-03 12:30,4728.89,4728.89,4707.95,4711.01,0
2024-01-03 13:00,4711.16,4715.49,4699.71,4704.81,0
2024-01-04 07:30,4697.42,4718.59,4696.15,4714.1,0
2024-01-04 08:30,4713.99,4726.78,4713.73,4722.56,0
2024-01-04 09:30,4722.72,4725.38,4710.38,4710.87,0
2024-01-04 10:30,4710.85,4711.61,4704.0,4711.36,0
2024-01-04 11:30,4711.37,4711.69,4701.28,4701.38,0
2024-01-04 12:30,4701.52,4707.21,4698.08,4699.58,0
2024-01-04 13:00,4699.51,4703.77,4687.53,4688.68,0
2024-01-05 07:30,4690.57,4721.49,4688.69,4710.49,0
2024-01-05 08:30,4710.53,4721.46,4708.5,4710.85,0
2024-01-05 09:30,4710.86,4710.86,4690.1,4690.27,0
2024-01-05 10:30,4690.22,4699.34,4684.22,4699.34,0
2024-01-05 11:30,4699.43,4706.42,4696.61,4700.15,0
2024-01-05 12:30,4700.2,4701.82,4682.82,4685.2,0
2024-01-05 13:00,4685.18,4699.86,4682.11,4697.24,0
2024-01-08 07:30,4703.7,4719.32,4699.82,4719.11,0
2024-01-08 08:30,4719.09,4724.86,4717.85,4721.58,0
2024-01-08 09:30,4721.6,4729.53,4721.43,4724.38,0
2024-01-08 10:30,4724.32,4734.2,4724.29,4731.69,0
2024-01-08 11:30,4731.7,4748.52,4731.06,4748.48,0
2024-01-08 12:30,4748.51,4756.84,4747.95,4753.72,0
2024-01-08 13:00,4753.73,4764.54,4753.56,4763.54,0
2024-01-09 07:30,4741.93,4746.17,4730.35,4742.04,0
2024-01-09 08:30,4741.8,4750.41,4739.14,4749.99,0
2024-01-09 09:30,4750.06,4760.34,4747.56,4759.26,0
2024-01-09 10:30,4759.27,4765.47,4749.37,4750.01,0
2024-01-09 11:30,4750.05,4762.75,4748.66,4754.07,0
2024-01-09 12:30,4754.06,4758.67,4749.02,4754.06,0
2024-01-09 13:00,4754.02,4758.39,4746.93,4756.5,0
2024-01-10 07:30,4759.94,4770.89,4756.2,4764.5,0
2024-01-10 08:30,4764.39,4769.48,4761.56,4765.01,0
2024-01-10 09:30,4765.04,4769.17,4762.09,4769.05,0
2024-01-10 10:30,4768.94,4775.55,4765.88,4770.4,0
2024-01-10 11:30,4770.46,4784.73,4769.52,4783.09,0
2024-01-10 12:30,4783.14,4790.8,4776.37,4779.17,0
2024-01-10 13:00,4779.21,4785.02,4769.58,4783.45,0
2024-01-11 07:30,4792.13,4798.5,4753.06,4769.31,0
2024-01-11 08:30,4769.58,4772.12,4742.24,4746.44,0
2024-01-11 09:30,4746.42,4752.69,4739.58,4748.96,0
2024-01-11 10:30,4748.82,4766.69,4747.05,4765.93,0
2024-01-11 11:30,4765.87,4779.07,4762.96,4778.83,0
2024-01-11 12:30,4778.94,4786.04,4771.67,4777.38,0
2024-01-11 13:00,4777.36,4783.31,4772.45,4780.24,0
2024-01-12 07:30,4791.18,4802.4,4776.07,4784.48,0
2024-01-12 08:30,4784.54,4785.33,4768.98,4784.06,0
2024-01-12 09:30,4783.97,4784.12,4770.25,4776.2,0
2024-01-12 10:30,4776.37,4783.54,4772.96,4782.99,0
2024-01-12 11:30,4783.01,4789.52,4781.21,4784.96,0
2024-01-12 12:30,4785.0,4785.0,4774.14,4778.75,0
2024-01-12 13:00,4778.87,4785.36,4777.56,4783.83,0
2024-01-16 07:30,4772.35,4778.71,4751.88,4778.51,0
2024-01-16 08:30,4778.45,4782.34,4763.33,4778.05,0
2024-01-16 09:30,4778.02,4780.35,4758.3,4758.53,0
2024-01-16 10:30,4758.8,4767.69,4755.14,4767.04,0
2024-01-16 11:30,4767.05,4767.64,4747.12,4750.57,0
2024-01-16 12:30,4750.63,4761.28,4750.4,4757.96,0
2024-01-16 13:00,4757.87,4766.5,4754.5,4765.98,0
2024-01-17 07:30,4739.13,4739.13,4726.12,4731.88,0
2024-01-17 08:30,4731.94,4744.04,4731.25,4740.44,0
2024-01-17 09:30,4740.47,4744.23,4730.04,4730.55,0
2024-01-17 10:30,4730.51,4735.91,4720.96,4721.96,0
2024-01-17 11:30,4721.83,4730.36,4714.82,4729.8,0
2024-01-17 12:30,4729.75,4733.54,4723.19,4726.01,0
2024-01-17 13:00,4726.05,4741.9,4725.88,4739.21,0
2024-01-18 07:30,4760.1,4760.59,4749.91,4759.76,0
2024-01-18 08:30,4759.68,4764.43,4752.72,4763.01,0
2024-01-18 09:30,4763.08,4766.1,4746.4,4749.96,0
2024-01-18 10:30,4749.9,4752.34,4740.57,4744.67,0
2024-01-18 11:30,4744.72,4775.24,4744.65,4774.68,0
2024-01-18 12:30,4774.67,4780.28,4765.66,4779.92,0
2024-01-18 13:00,4779.88,4785.79,4775.12,4780.94,0
2024-01-19 07:30,4796.28,4799.33,4785.87,4792.15,0
2024-01-19 08:30,4792.25,4807.22,4789.58,4803.12,0
2024-01-19 09:30,4802.92,4810.04,4797.73,4809.22,0
2024-01-19 10:30,4809.18,4826.29,4809.14,4826.18,0
2024-01-19 11:30,4826.28,4842.07,4825.89,4833.98,0
2024-01-19 12:30,4833.99,4840.96,4829.19,4836.74,0
2024-01-19 13:00,4836.77,4840.11,4834.61,4839.81,0
2024-01-22 07:30,4853.42,4868.41,4853.42,4856.79,0
2024-01-22 08:30,4856.65,4858.37,4847.19,4856.27,0
2024-01-22 09:30,4856.25,4857.63,4848.79,4855.85,0
2024-01-22 10:30,4855.79,4856.05,4844.05,4845.53,0
2024-01-22 11:30,4845.48,4855.58,4845.36,4851.54,0
2024-01-22 12:30,4851.46,4857.43,4848.62,4856.48,0
2024-01-22 13:00,4856.54,4857.38,4849.72,4850.43,0
2024-01-23 07:30,4856.8,4858.98,4850.43,4853.17,0
2024-01-23 08:30,4853.12,4853.12,4844.8,4845.46,0
2024-01-23 09:30,4845.5,4851.02,4844.37,4848.71,0
2024-01-23 10:30,4848.68,4855.33,4846.42,4853.23,0
2024-01-23 11:30,4853.21,4856.05,4851.15,4852.78,0
2024-01-23 12:30,4852.72,4864.78,4851.98,4861.33,0
2024-01-23 13:00,4861.33,4866.48,4858.9,4864.6,0
2024-01-24 07:30,4888.56,4893.6,4880.06,4890.25,0
2024-01-24 08:30,4890.38,4901.29,4889.82,4895.55,0
2024-01-24 09:30,4895.68,4900.71,4892.9,4900.58,0
2024-01-24 10:30,4900.6,4903.68,4890.78,4894.16,0
2024-01-24 11:30,4894.19,4894.19,4875.72,4879.88,0
2024-01-24 12:30,4880.06,4886.14,4869.76,4870.73,0
2024-01-24 13:00,4870.68,4879.45,4865.94,4868.55,0
2024-01-25 07:30,4886.66,4898.15,4882.81,4896.19,0
2024-01-25 08:30,4896.2,4896.74,4883.6,4892.72,0
2024-01-25 09:30,4892.72,4896.08,4879.99,4880.56,0
2024-01-25 10:30,4880.56,4888.42,4875.98,4877.7,0
2024-01-25 11:30,4877.64,4883.45,4869.34,4877.74,0
2024-01-25 12:30,4877.7,4883.78,4873.43,4880.72,0
2024-01-25 13:00,4880.8,4895.05,4880.8,4894.16,0
2024-01-26 07:30,4888.91,4897.94,4885.86,4897.09,0
2024-01-26 08:30,4897.11,4906.69,4896.69,4902.51,0
2024-01-26 09:30,4902.53,4904.44,4896.6,4897.48,0
2024-01-26 10:30,4897.48,4897.48,4882.93,4889.62,0
2024-01-26 11:30,4889.58,4890.1,4881.47,4887.05,0
2024-01-26 12:30,4887.08,4896.74,4885.22,4889.26,0
2024-01-26 13:00,4889.23,4892.66,4886.24,4890.97,0
2024-01-29 07:30,4892.95,4898.44,4889.96,4894.23,0
2024-01-29 08:30,4894.15,4894.46,4887.4,4894.07,0
2024-01-29 09:30,4894.07,4900.48,4893.28,4899.02,0
2024-01-29 10:30,4899.05,4901.48,4894.57,4899.83,0
2024-01-29 11:30,4899.81,4904.69,4896.78,4903.4,0
2024-01-29 12:30,4903.36,4929.31,4903.12,4927.17,0
2024-01-29 13:00,4927.23,4929.06,4919.9,4927.93,0
2024-01-30 07:30,4925.89,4929.52,4919.06,4922.75,0
2024-01-30 08:30,4922.58,4926.24,4918.78,4925.91,0
2024-01-30 09:30,4925.94,4930.05,4918.89,4919.3,0
2024-01-30 10:30,4919.51,4925.28,4916.27,4924.96,0
2024-01-30 11:30,4924.91,4927.99,4919.94,4927.64,0
2024-01-30 12:30,4927.68,4931.09,4924.97,4928.59,0
2024-01-30 13:00,4928.61,4928.77,4922.92,4924.97,0
2024-01-31 07:30,4899.19,4906.75,4886.79,4887.66,0
2024-01-31 08:30,4887.52,4890.06,4879.14,4884.63,0
2024-01-31 09:30,4884.61,4888.68,4878.84,4887.99,0
2024-01-31 10:30,4887.95,4892.24,4880.85,4887.19,0
2024-01-31 11:30,4887.26,4892.55,4871.94,4874.91,0
2024-01-31 12:30,4874.76,4904.75,4852.16,4858.58,0
2024-01-31 13:00,4858.38,4858.8,4845.15,4845.65,0
2024-02-01 07:30,4861.11,4876.59,4857.83,4875.59,0
2024-02-01 08:30,4875.66,4876.01,4853.52,4863.08,0
2024-02-01 09:30,4863.26,4887.45,4862.72,4879.27,0
2024-02-01 10:30,4879.29,4896.83,4877.31,4886.91,0
2024-02-01 11:30,4886.94,4894.1,4879.51,4889.27,0
2024-02-01 12:30,4889.39,4904.44,4886.05,4902.75,0
2024-02-01 13:00,4902.79,4906.97,4895.8,4906.19,0
2024-02-02 07:30,4916.06,4928.4,4907.99,4923.97,0
2024-02-02 08:30,4924.03,4947.44,4918.58,4946.0,0
2024-02-02 09:30,4946.02,4959.1,4944.95,4958.32,0
2024-02-02 10:30,4958.34,4961.13,4938.37,4951.86,0
2024-02-02 11:30,4951.96,4968.49,4948.82,4965.19,0
2024-02-02 12:30,4965.21,4975.29,4964.39,4973.12,0
2024-02-02 13:00,4973.12,4973.12,4958.04,4958.61,0
2024-02-05 07:30,4957.19,4957.19,4923.47,4929.13,0
2024-02-05 08:30,4929.14,4933.35,4918.09,4930.97,0
2024-02-05 09:30,4930.85,4944.33,4929.06,4944.33,0
2024-02-05 10:30,4944.36,4949.54,4941.03,4941.34,0
2024-02-05 11:30,4941.39,4950.14,4941.39,4949.47,0
2024-02-05 12:30,4949.52,4956.35,4940.93,4950.7,0
2024-02-05 13:00,4950.7,4954.15,4941.95,4942.81,0
2024-02-06 07:30,4950.16,4957.77,4934.88,4940.15,0
2024-02-06 08:30,4940.08,4948.11,4939.02,4947.35,0
2024-02-06 09:30,4947.32,4948.37,4935.44,4942.44,0
2024-02-06 10:30,4942.42,4944.78,4938.89,4943.6,0
2024-02-06 11:30,4943.62,4949.93,4935.66,4941.09,0
2024-02-06 12:30,4941.07,4949.51,4937.31,4945.52,0
2024-02-06 13:00,4945.38,4954.49,4941.0,4954.23,0
2024-02-07 07:30,4973.05,4995.04,4969.05,4992.98,0
2024-02-07 08:30,4993.24,4993.73,4983.44,4986.86,0
2024-02-07 09:30,4986.76,4992.94,4983.88,4985.81,0
2024-02-07 10:30,4985.97,4997.79,4982.87,4997.77,0
2024-02-07 11:30,4997.63,4998.65,4991.67,4995.01,0
2024-02-07 12:30,4995.09,4999.89,4992.85,4996.31,0
2024-02-07 13:00,4996.37,4997.72,4991.03,4995.06,0
2024-02-08 07:30,4995.16,4997.49,4990.4,4991.12,0
2024-02-08 08:30,4991.01,4995.99,4987.09,4988.3,0
2024-02-08 09:30,4988.41,4995.4,4987.65,4994.51,0
